Age,Lower,Estimate,Upper
s0-9,0.17758994265764316,0.219294308,0.2707923252946056
s10-19,0.34280672223753605,0.423309799,0.522717829918331
s30-39,0.7092746820194112,1.124597388,1.7831163541543273
s40-49,0.742539113416158,1.511734653,1.9793905975326396
s50-59,0.8032179183923442,1.560386081,2.2758979656744183
s60-69,0.9617320373076483,1.727919503,2.271307337649841
s70-79,0.9504708876211508,1.734579037,2.1087118300940557
v0-9,2.7208110069355054,3.77747199,4.683955244920823
v10-19,0.5763534714177648,0.71170154,0.8788340960147116
v30-39,0.6230368581126242,0.769347828,0.9500177601712958
v40-49,0.08492623233031124,0.104869899,0.1294970401312032
v50-59,3.127508038520058e-09,2.090248998,8.202760112176883
v60-69,1.6109277736385545,1.98923028,2.456371521816423
v70-79,0.6854289384483853,3.373799478,4.469558127461802
