"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79"
"0-4",1.8924463311511,0.796267146134471,0.0438968767148188,0.0224085257386291,0.0173351626948131,0.0269046415991981,0.267880992055765,0.266935791203402,0.00750634880626289,0.00178707188518052,0.0583697431224025,0.0573432571621946,0.0790322805406609,0.0355122288252092,3.78967641033191e-05,1.44755111948714e-71
"5-9",0.762539735105533,10.3811998450354,0.318723453395101,0.052727395066649,0.00860176360171411,0.0698636652333877,0.074303342426768,0.287309278511281,0.0271080057585979,0.00530379791390491,0.0407007059005566,0.0312947816312919,0.0072398539648579,0.0269784705701464,0.0591335059872579,0.0363152546611224
"10-14",0.285349233014315,2.62903887084577,5.51472488958784,0.469255873578799,0.0386156636935285,0.0218446244091259,0.0634728293726831,0.213798155566349,0.040668646334661,0.0272087900415095,0.117881015310776,0.0216839057602123,0.00849627666996046,0.0225189314596056,0.116033601166649,1.7425156479595e-25
"15-19",0.198018327079583,0.140454469329658,2.35330088764841,5.49035215443393,0.278428673657981,0.293837511156297,1.2543273958241,0.187175909831646,0.0192193786198044,0.0315477848762328,0.246971703443018,0.0533405746254628,0.0121056491052545,0.0152654459608478,0.0752820227959731,5.88145695040025e-21
"20-24",1.35302052625853,8.01393659505935e-06,0.0734801793116448,1.20416051160592,3.579668576,1.501068491,2.76039136380517,4.07087231902746,0.0190132150528432,0.0475806893164637,0.751927117383695,2.84592731760778e-15,0.0175407526820423,1.01213926566063e-20,0.000830824629418372,0.154085267708171
"25-29",1.65426375099858,0.930885306927142,1.62540458059353e-15,0.31195271827854,0.660144097,3.352285059,1.56347776453432,1.96296827312816,0.234957251297321,0.0913284020815682,1.77749526076956,0.472567120951887,0.247125647001176,3.46873425331723e-05,7.29575191522536e-35,3.438874541073e-58
"30-34",11.7206921778797,11.7467292438128,3.66558806181883,7.08517893521802,0.829047784748148,2.17010266592278,9.47129002240312,5.63892188476065,0.344243056707416,0.579349386164417,1.34472119777405,0.583499666108182,0.146986851030416,6.36044924375957e-05,0.31306123460076,0.881467173869171
"35-39",3.81059983057626,6.72859261804977,1.99154722216335,0.38158442970113,1.28076230951689,0.856970560853546,1.75192761099455,5.48710024298387,0.313166717086144,0.655504186382975,2.14585345085237,0.370248310627037,0.512570565369215,0.266857946853626,0.437449434762195,0.100074529418707
"40-44",3.82469699816433,8.25903808780604,2.38187394891748,0.699178285081197,4.5292391537338,2.57818291959743,3.24898079999224,10.2966742074092,1.20293117188776,0.572710976407203,4.91273126360597,0.529784345913701,0.764317381846278,0.3435892122795,1.17487623639012,3.47823442170134e-38
"45-49",9.74156917969315e-28,4.15713531969155,2.19129998808287,2.28455456918385,1.13752972172403,2.07280363606305,1.93453989227976,3.9953430745519,0.448897690453328,0.44204300166648,2.20587980659256,1.03736130695589,0.486273511405972,4.0299339785401e-15,0.220873280098542,8.6683074805548e-05
"50-54",1.29010732228435e-16,3.06003485061843,0.466460164986254,1.67745353814104,4.94785689796763,5.49715165692129,1.96023247728972,4.48667785457906,0.0466124259990344,0.569575332810395,3.35129356275654,1.13991223030174,0.212016674488249,0.422785902695258,0.05817212299608,0.323838311495088
"55-59",1.17251776783901e-71,1.87427062907353e-89,1.01589871272582,1.67962380208609,2.4002573662867,1.78006329472221,2.35704515859815,2.28604887739011,0.416640175046977,0.246824037505138,2.48556349053425,5.90548537440781,3.24024473576043,2.05946713849582,1.75049907472148e-37,0.213194951296292
"60-64",3.21882243655946,1.86515374986086,0.579319314900425,1.115537103736,0.73501096259558,0.740769067965491,1.85482201318692,3.02215762074096,0.135368875454545,0.188224992178607,2.13533421318263,2.56691765688721,4.46720906984437,2.20667177823288,5.41048995781782,0.669928514977286
"65-69",0.414579821068195,0.415568061464823,1.99346884761301e-46,0.133337083876535,0.661946026746318,0.667929497104869,0.654124807325009,1.21500972471316,0.0964090131832997,0.00990850086459001,0.820235776693649,1.20447660871348,3.46997184901666,2.3559918410297,2.85120104554839,0.686063028321083
"70-74",7.0587635138744e-34,3.37616411783178e-35,1.53694620276247e-40,0.000371973677900736,0.495035725037469,0.218821724428697,0.268669142923228,0.813675579888354,0.139521198458295,0.101384544953642,0.562555241304736,1.37623735597375,2.29644879367076,2.06857219518222,13.3370461771639,1.43997335924145
"75-79",0.479912547768418,1.33147143188975,0.988616315440408,0.1608857539802,0.605870149751483,0.262693503311399,0.995146861179841,0.550735276745351,0.106031481821191,0.0859867870881812,0.447335440747668,0.856892367404775,0.116766473836913,1.73702994037509,3.14436284857957,5.00769325646329
